"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20231201","2호선","대림(구로구청)","25995","26770","20231204",""
"20231201","2호선","신도림","55447","55057","20231204",""
"20231201","2호선","문래","25818","26561","20231204",""
"20231201","2호선","영등포구청","24517","25006","20231204",""
"20231201","2호선","당산","20266","23832","20231204",""
"20231201","2호선","합정","36748","41409","20231204",""
"20231201","2호선","홍대입구","74538","84106","20231204",""
"20231201","2호선","신촌","44520","46034","20231204",""
"20231201","2호선","이대","19184","20048","20231204",""
"20231201","2호선","아현","12304","11542","20231204",""
"20231201","2호선","충정로(경기대입구)","11564","12393","20231204",""
"20231201","2호선","용답","3278","3259","20231204",""
"20231201","2호선","신답","1800","2031","20231204",""
"20231201","2호선","신설동","4007","4062","20231204",""
"20231201","2호선","도림천","1337","1490","20231204",""
"20231201","2호선","양천구청","7661","8125","20231204",""
"20231201","2호선","신정네거리","11444","11945","20231204",""
"20231201","2호선","용두(동대문구청)","2825","2892","20231204",""
"20231201","3호선","지축","7784","7714","20231204",""
"20231201","3호선","구파발","23518","22607","20231204",""
"20231201","3호선","연신내","38070","36551","20231204",""
"20231201","3호선","불광","17782","18904","20231204",""
"20231201","3호선","녹번","17625","15795","20231204",""
"20231201","3호선","홍제","20324","19294","20231204",""
"20231201","3호선","무악재","4861","4667","20231204",""
"20231201","3호선","독립문","7991","7861","20231204",""
"20231201","3호선","경복궁(정부서울청사)","27603","27602","20231204",""
"20231201","3호선","안국","28492","29709","20231204",""
"20231201","3호선","종로3가","11980","13947","20231204",""
"20231201","3호선","을지로3가","13882","14240","20231204",""
"20231201","3호선","충무로","1","0","20231204",""
"20231201","3호선","동대입구","12162","13046","20231204",""
"20231201","3호선","약수","15038","14419","20231204",""
"20231201","3호선","금호","8922","8173","20231204",""
"20231201","3호선","옥수","9547","9996","20231204",""
"20231201","3호선","압구정","36849","40326","20231204",""
"20231201","3호선","신사","33088","35378","20231204",""
"20231201","3호선","잠원","5789","5484","20231204",""
"20231201","3호선","고속터미널","56181","56150","20231204",""
"20231201","3호선","교대(법원.검찰청)","20189","12091","20231204",""
